run,dataset,lr,n_head,dropout,weight_decay,n_layer,dimension,context_len,train_loss,test_loss,train_acc,test_acc,train_recall,test_recall,train_precision,test_precision,train_f1,test_f1
8000_6_128_100_8_0.4_0.0001,8000,0.0006,8,0.4,0.0001,6,128,100,1.7097,0.0126,0.8958,0.9995,0.8958,0.9995,0.8958,0.9995,0.8958,0.9995
8000_3_128_100_1_0.1_0.0001,8000,0.0006,1,0.1,0.0001,3,128,100,1.459,0.01,0.9562,0.9997,0.9562,0.9997,0.9562,0.9997,0.9562,0.9997
8000_6_256_100_8_0.1_0.0001,8000,0.0006,8,0.1,0.0001,6,256,100,0.566,0.0032,0.9524,0.9996,0.9524,0.9996,0.9524,0.9996,0.9524,0.9996
8000_6_256_100_8_0.0_0.0,8000,0.0006,8,0.0,0.0,6,256,100,0.4985,0.0034,0.9654,0.9996,0.9654,0.9996,0.9654,0.9996,0.9654,0.9996
8000_6_128_100_8_0.0_0.0,8000,0.0006,8,0.0,0.0,6,128,100,0.7827,0.0047,0.9751,0.9995,0.9751,0.9995,0.9751,0.9995,0.9751,0.9995
8000_6_128_100_8_0.0_0.0,8000,0.0006,8,0.0,0.0,6,128,100,1.4722,0.0113,0.9558,0.9994,0.9558,0.9994,0.9558,0.9994,0.9558,0.9994
7000_6_128_100_8_0.0_0.0,7000,0.0006,8,0.0,0.0,6,128,100,2.7453,0.1953,0.9149,0.9979,0.9149,0.9979,0.9149,0.9979,0.9149,0.9979
7000_6_128_100_8_0.0_0.0,7000,0.0006,8,0.0,0.0,6,128,100,2.7336,0.1944,0.912,0.9976,0.912,0.9976,0.912,0.9976,0.912,0.9976
8000_6_128_100_8_0.0_0.0,8000,0.0006,8,0.0,0.0,6,128,100,1.4727,0.0109,0.9569,0.9996,0.9569,0.9996,0.9569,0.9996,0.9569,0.9996
8000_6_128_100_8_0.0_0.02,8000,0.0006,8,0.0,0.02,6,128,100,1.4105,0.0062,0.9587,0.9999,0.9587,0.9999,0.9587,0.9999,0.9587,0.9999
8000_3_64_100_2_0.0_0.0,8000,0.0006,2,0.0,0.0,3,64,100,2.7848,0.1641,0.95,0.999,0.95,0.999,0.95,0.999,0.95,0.999
8000_12_256_100_8_0.0_0.0,8000,0.0006,8,0.0,0.0,12,256,100,1.1118,0.0011,0.8878,0.9999,0.8878,0.9999,0.8878,0.9999,0.8878,0.9999
10000_6_128_100_8_0.1_0.1,10000,0.0006,8,0.1,0.1,6,128,100,2.2247,0.1402,0.9101,0.9948,0.9101,0.9948,0.9101,0.9948,0.9101,0.9948
10000_6_128_100_8_0.1_0.1,10000,0.0006,8,0.1,0.1,6,128,100,2.1796,0.1766,0.9133,0.995,0.9133,0.995,0.9133,0.995,0.9133,0.995
10000_6_128_100_8_0.1_0.1,10000,0.0006,8,0.1,0.1,6,128,100,2.1475,0.1767,0.9172,0.9952,0.9172,0.9952,0.9172,0.9952,0.9172,0.9952
8000_6_128_100_8_0.1_0.1,8000,0.0006,8,0.1,0.1,6,128,100,0.8189,0.0063,0.9675,0.9999,0.9675,0.9999,0.9675,0.9999,0.9675,0.9999
8000_6_512_100_8_0.1_0.1,8000,0.0006,8,0.1,0.1,6,512,100,0.2909,0.0107,0.9578,0.9979,0.9578,0.9979,0.9578,0.9979,0.9578,0.9979
